code_zone_(m49),zone,code_élément,élément,code_produit,produit,code_année,année,unité,valeur
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2013,2013,kcal personne jour,2205.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2014,2014,kcal personne jour,2270.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2015,2015,kcal personne jour,2251.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2016,2016,kcal personne jour,2241.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2017,2017,kcal personne jour,2307.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2018,2018,kcal personne jour,2262.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2019,2019,kcal personne jour,2223.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2020,2020,kcal personne jour,2260.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2021,2021,kcal personne jour,2245.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2022,2022,kcal personne jour,2269.0
4,Afghanistan,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2023,2023,kcal personne jour,2315.0
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2000,2000,Int  cap,1617.8
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2001,2001,Int  cap,1454.1
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2002,2002,Int  cap,1774.3
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2003,2003,Int  cap,1815.9
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2004,2004,Int  cap,1776.9
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2005,2005,Int  cap,1908.1
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2006,2006,Int  cap,1929.7
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2007,2007,Int  cap,2155.4
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2008,2008,Int  cap,2191.5
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2009,2009,Int  cap,2565.0
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2010,2010,Int  cap,2848.6
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2011,2011,Int  cap,2757.1
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2012,2012,Int  cap,2985.3
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2013,2013,Int  cap,3046.6
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2014,2014,Int  cap,3017.9
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2015,2015,Int  cap,2967.7
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2016,2016,Int  cap,2958.8
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2017,2017,Int  cap,2953.0
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2018,2018,Int  cap,2902.4
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2019,2019,Int  cap,2927.2
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2020,2020,Int  cap,2769.7
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2021,2021,Int  cap,2144.2
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2022,2022,Int  cap,1981.7
4,Afghanistan,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2023,2023,Int  cap,1983.8
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20002002,2001, ,45.8
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20012003,2002, ,43.5
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20022004,2003, ,38.7
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20032005,2004, ,34.6
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20042006,2005, ,30.6
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20052007,2006, ,26.6
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20062008,2007, ,22.7
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20072009,2008, ,19.7
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20082010,2009, ,17.6
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20092011,2010, ,17.7
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20102012,2011, ,18.6
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20112013,2012, ,19.7
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20122014,2013, ,19.4
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20132015,2014, ,19.3
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20142016,2015, ,19.9
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20152017,2016, ,20.4
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20162018,2017, ,21.3
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20172019,2018, ,22.6
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20182020,2019, ,25.1
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20192021,2020, ,27.5
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20202022,2021, ,28.8
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20212023,2022, ,28.9
4,Afghanistan,6121,Valeur,210041,Prévalence de la sous alimentation      moyenne sur 3 ans ,20222024,2023, ,28.1
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20002002,2001,millions de No,9.4
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20012003,2002,millions de No,9.3
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20022004,2003,millions de No,8.7
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20032005,2004,millions de No,8.2
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20042006,2005,millions de No,7.5
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20052007,2006,millions de No,6.7
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20062008,2007,millions de No,5.9
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20072009,2008,millions de No,5.2
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20082010,2009,millions de No,4.8
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20092011,2010,millions de No,5.0
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20102012,2011,millions de No,5.5
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20112013,2012,millions de No,6.0
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20122014,2013,millions de No,6.1
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20132015,2014,millions de No,6.3
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20142016,2015,millions de No,6.7
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20152017,2016,millions de No,7.1
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20162018,2017,millions de No,7.6
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20172019,2018,millions de No,8.3
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20182020,2019,millions de No,9.5
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20192021,2020,millions de No,10.7
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20202022,2021,millions de No,11.5
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20212023,2022,millions de No,11.7
4,Afghanistan,6132,Valeur,210011,Nombre de personnes sous alimentées  millions   moyenne sur 3 ans ,20222024,2023,millions de No,11.7
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2000,2000, ,4.3
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2001,2001, ,4.6
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2002,2002, ,5.0
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2003,2003, ,5.4
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2004,2004, ,5.8
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2005,2005, ,6.2
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2006,2006, ,6.7
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2007,2007, ,7.2
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2008,2008, ,7.8
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2009,2009, ,8.3
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2010,2010, ,9.0
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2011,2011, ,9.6
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2012,2012, ,10.3
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2013,2013, ,11.0
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2014,2014, ,11.7
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2015,2015, ,12.6
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2016,2016, ,13.4
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2017,2017, ,14.3
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2018,2018, ,15.3
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2019,2019, ,16.2
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2020,2020, ,17.2
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2021,2021, ,18.2
4,Afghanistan,6121,Valeur,21042,Prévalence de l obésité chez l adulte  18 ans ou plus ,2022,2022, ,19.2
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2000,2000,millions de No,0.4
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2001,2001,millions de No,0.4
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2002,2002,millions de No,0.5
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2003,2003,millions de No,0.5
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2004,2004,millions de No,0.6
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2005,2005,millions de No,0.7
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2006,2006,millions de No,0.8
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2007,2007,millions de No,0.8
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2008,2008,millions de No,0.9
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2009,2009,millions de No,1.0
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2010,2010,millions de No,1.1
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2011,2011,millions de No,1.3
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2012,2012,millions de No,1.4
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2013,2013,millions de No,1.6
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2014,2014,millions de No,1.8
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2015,2015,millions de No,2.0
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2016,2016,millions de No,2.2
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2017,2017,millions de No,2.4
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2018,2018,millions de No,2.7
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2019,2019,millions de No,3.0
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2020,2020,millions de No,3.3
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2021,2021,millions de No,3.6
4,Afghanistan,6132,Valeur,210420,Nombre d adultes  18 ans ou plus  obèses  millions ,2022,2022,millions de No,3.9
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20002002,2001,g personne jour,29.7
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20012003,2002,g personne jour,29.0
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20022004,2003,g personne jour,31.6
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20032005,2004,g personne jour,33.9
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20042006,2005,g personne jour,34.3
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20052007,2006,g personne jour,33.3
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20062008,2007,g personne jour,31.0
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20072009,2008,g personne jour,30.8
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20082010,2009,g personne jour,32.8
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20092011,2010,g personne jour,34.9
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20102012,2011,g personne jour,37.2
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20112013,2012,g personne jour,37.2
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20122014,2013,g personne jour,39.2
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20132015,2014,g personne jour,39.7
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20142016,2015,g personne jour,40.9
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20152017,2016,g personne jour,40.5
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20162018,2017,g personne jour,41.5
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20172019,2018,g personne jour,41.6
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20182020,2019,g personne jour,42.0
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20192021,2020,g personne jour,41.9
4,Afghanistan,6123,Valeur,21061,Disponibilités moyennes de matière grasse  g personne jour   moyenne sur 3 ans ,20202022,2021,g personne jour,43.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2001,2001,kcal personne jour,2905.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2002,2002,kcal personne jour,2908.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2003,2003,kcal personne jour,2938.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2004,2004,kcal personne jour,2956.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2005,2005,kcal personne jour,2974.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2006,2006,kcal personne jour,2953.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2007,2007,kcal personne jour,2949.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2008,2008,kcal personne jour,2953.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2009,2009,kcal personne jour,2960.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2010,2010,kcal personne jour,2867.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2011,2011,kcal personne jour,2872.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2012,2012,kcal personne jour,2891.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2013,2013,kcal personne jour,2871.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2014,2014,kcal personne jour,2839.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2015,2015,kcal personne jour,2801.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2016,2016,kcal personne jour,2819.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2017,2017,kcal personne jour,2835.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2018,2018,kcal personne jour,2826.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2019,2019,kcal personne jour,2789.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2020,2020,kcal personne jour,2762.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2021,2021,kcal personne jour,2688.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2022,2022,kcal personne jour,2725.0
710,Afrique du Sud,6128,Valeur,220001,Disponibilité alimentaire par habitant utilisée dans l estimation de la prévalence de la sous alimentation  kcal personne jour ,2023,2023,kcal personne jour,2695.0
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2000,2000,Int  cap,11197.5
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2001,2001,Int  cap,11401.4
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2002,2002,Int  cap,11711.9
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2003,2003,Int  cap,11937.7
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2004,2004,Int  cap,12356.3
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2005,2005,Int  cap,12877.3
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2006,2006,Int  cap,13460.7
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2007,2007,Int  cap,14033.4
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2008,2008,Int  cap,14315.2
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2009,2009,Int  cap,13927.7
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2010,2010,Int  cap,14182.3
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2011,2011,Int  cap,14451.9
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2012,2012,Int  cap,14581.6
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2013,2013,Int  cap,14699.1
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2014,2014,Int  cap,14661.3
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2015,2015,Int  cap,14559.5
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2016,2016,Int  cap,14519.0
710,Afrique du Sud,6126,Valeur,22013,PIB par habitant     PPA internationaux constants de 2021 ,2017,2017,Int  cap,14591.4
